user_id,first_name,last_name,email,date_of_birth,password
50d4e3b2,Xavier,Ward,sarah39@example.com,1983-02-16,*0(Fa5ncW6
76397991,Amanda,Peterson,hamptonchristine@example.net,1994-10-25,(U2gZrEwr!
346050b0,Joshua,Mosley,keith78@example.org,1993-10-12,f4C6H36z+I
04bc9af6,Nicole,Hutchinson,jonathon87@example.org,1992-07-11,Dc(_8kPx@_
6eb4d8fb,Robert,Price,osoto@example.org,1997-01-11,U&7@SDfXTH
32b272f2,Melissa,Trevino,robin71@example.net,1985-03-16,Pj0Bb#^w%k
f97c209b,Richard,Martinez,gregorygene@example.net,1992-03-24,%f$onUMtM5
90104220,Eddie,Smith,riveradanny@example.org,1985-06-20,%ye!DHef48
b1b071b2,Matthew,Mathis,thomasrobert@example.org,1986-12-19,3(hRaoj#!i
25d1cb2b,Tyler,Taylor,callen@example.net,1972-10-01,taaIv+96+4
