user_id,first_name,last_name,email,date_of_birth,password,status,dealer_rating,dealer_num_ratings
eb640e90,James,Martinez,kimpamela@example.com,1999-08-23,681HTJPk_0,inactive,3,357
d562b9b9,Danielle,Adams,hayleycross@example.org,1999-06-29,PE$9HmzVeW,active,4,792
516803df,Caitlin,Thomas,dhawkins@example.com,1988-06-04,)s08uOEk(n,banned,5,153
ebf03018,Steven,Guerrero,charles43@example.com,2004-11-01,3)lU5t3i4G,inactive,1,879
9111a722,Hayley,Martinez,williamsnicholas@example.net,1969-06-23,kS6FE3o(p^,banned,3,476
27b6330b,Miguel,Davis,sjohns@example.org,1995-08-17,V+2ZF5rmxG,active,5,852
1e3f2bcc,Jasmine,Jackson,ashleyburns@example.org,2005-08-25,*t$ftP(Cq7,banned,1,610
89164b4e,Mike,Dean,jennifertate@example.net,2005-06-21,%sJlBJf53g,inactive,1,283
028c947c,Keith,Walter,ymarquez@example.org,2000-11-08,88$H8(GnL&,inactive,4,454
8f597029,Tracy,Parsons,pbrown@example.com,1974-04-25,#)ZHl!s)Z0,inactive,3,841
981a37b3,Amy,Ferrell,sandrapruitt@example.net,1995-10-17,(+3TiySk9c,banned,1,115
f4f92bce,Richard,Delgado,boydpamela@example.net,1985-01-18,zz73S9%w@T,banned,4,445
1b4386ee,Gregory,Franklin,codykennedy@example.com,1999-10-05,z4K4t#P0*l,banned,1,412
c445b507,Shirley,Carpenter,stanleyrebecca@example.net,1963-07-16,(L4Hanr3zj,active,4,718
06d6d68a,Kevin,Walters,robertrobbins@example.org,1986-07-19,3sT8tY10&!,active,4,188
2d2cac43,Gary,Howell,elizabethroth@example.net,1969-04-06,WA2%r+Sqe!,banned,4,242
baa08026,Jonathan,Johnson,juanevans@example.com,1983-12-14,qS49RRmI%+,banned,5,117
b3df0982,Brian,Acosta,stafforddonna@example.com,1990-09-04,#j2*EoJy_5,banned,1,548
f776207c,Brittany,Wilson,mackenzie66@example.org,1988-03-11,8W4#4i!aE*,inactive,3,897
8e17820c,Dawn,Turner,barnesmartin@example.net,1979-03-04,9&X8FSAl(3,banned,4,463
2623a983,Dave,Miller,esimmons@example.com,2005-01-14,cmBbAh9r+4,active,3,58
