"user_id","first_name","last_name","password","email","date_of_birth"
"105713ee-3db3-11ef-9c6d-25fd86a9baaa",,,$2a$10$W201xagUMOVt76QhIb8c..aVrg0rzvcFXEp8GzuE2Mt,postman@example.com,"1990-01-01 00:00:00"
"1865955f",Katherine,Hebert,#WFy_We4b8,nicole12@example.net,"1988-07-07 00:00:00"
"35b50f08",Christopher,Arnold,$Xq3A)q@Vt,amann@example.com,"1968-12-08 00:00:00"
"45845887",Donald,Peterson,+8HWJ@Bhcq,solismichelle@example.net,"2005-06-05 00:00:00"
"58dce04d",Parsh,Parikh,#wer$y456,parsh.parikh@example.com,"2004-03-24 00:00:00"
"6219b995-161a-4f74-9805-bc8970805743",Jerry,Hu,$2a$10$1obYKU0354K7eoIPrqmExuyi/gtFIUS.uUrnE0HuNLd,postman2@example.com,"1990-01-01 00:00:00"
"67cab03c",Dawn,Krueger,%Jv3Dwst5*,hernandezjoseph@example.org,"1988-05-26 00:00:00"
"6957235d",Anthony,Guerrero,+U*SG89g64,jennifer81@example.org,"1988-12-14 00:00:00"
"74c13781",David,Herman,*oDN8R6p)4,stephen99@example.com,"1975-10-04 00:00:00"
"775e7b4f",James,Rogers,__!J2GRmP#,davenportroger@example.net,"1978-07-01 00:00:00"
a2401ad6,Jonathan,Walker,#g0DUlSWh5,johnsonjose@example.org,"1972-03-18 00:00:00"
a75cb718-3d94-11ef-9c6d-25fd86a9baaa,,,$2a$10$Y.re2614mv7uwhYwNpofeeymuB0uOfvUz4QIMs5.GXt,m7kwak@uwaterloo.ca,"2004-02-19 00:00:00"
ac4f28e6-a9ae-4a58-93db-803a11843032,Mike,Li,$2a$10$PV7iTbaZS2O.9zyR2X9ApOmQJQbqCQkwvM7bRbM9efa,postman@example.com,"1990-01-01 00:00:00"
be2c645a,Carol,Dalton,%HFy&Kny+7,cassandragross@example.net,"1974-04-04 00:00:00"
c204bc96,Brian,Barnes,@(XqFWqY5E,warnereric@example.net,"1997-03-07 00:00:00"
