user_id,first_name,last_name,email,date_of_birth,password,status,dealer_rating,dealer_num_ratings
505bf830,Michael,Francis,gary18@example.net,1982-10-10,95rOhQJS+k,banned,3,440
1a10b317,Adam,Norton,april01@example.org,1989-12-11,Up1nsWLbD(,banned,3,906
b734f9f5,Jeffrey,Flores,bjimenez@example.net,1979-05-24,$k6b8Ji&uI,banned,5,748
fc37d24d,Jorge,Kelley,fjohnson@example.net,1964-11-08,r&1pxLvhA&,inactive,1,517
ff473545,Hannah,Murphy,cindyortiz@example.net,1988-06-04,##7AAoP36P,inactive,5,738
40c7a1d7,Suzanne,Harrison,justin89@example.net,1986-06-17,2a2SxDieZ),active,1,524
77c7a3d5,Jason,Henry,khays@example.com,2000-01-22,)Ge#9zYber,banned,5,70
ad0ae349,Kelly,Fields,carol25@example.org,1996-08-22,hCB4Dfp+^(,banned,2,246
e3bb3259,Albert,Stuart,amandagreer@example.net,1991-12-25,mp1JT+KvO),active,1,842
34cdedf5,Michelle,Jenkins,ibush@example.com,1970-06-20,F8Bjhpe*!5,active,2,806
