user_id,first_name,last_name,email,date_of_birth,password
45845887,Donald,Peterson,solismichelle@example.net,2005-06-05,+8HWJ@Bhcq
74c13781,David,Herman,stephen99@example.com,1975-10-04,*oDN8R6p)4
35b50f08,Christopher,Arnold,amann@example.com,1968-12-08,$Xq3A)q@Vt
6957235d,Anthony,Guerrero,jennifer81@example.org,1988-12-14,+U*SG89g64
775e7b4f,James,Rogers,davenportroger@example.net,1978-07-01,__!J2GRmP#
be2c645a,Carol,Dalton,cassandragross@example.net,1974-04-04,%HFy&Kny+7
c204bc96,Brian,Barnes,warnereric@example.net,1997-03-07,@(XqFWqY5E
a2401ad6,Jonathan,Walker,johnsonjose@example.org,1972-03-18,#g0DUlSWh5
1865955f,Katherine,Hebert,nicole12@example.net,1988-07-07,#WFy_We4b8
67cab03c,Dawn,Krueger,hernandezjoseph@example.org,1988-05-26,%Jv3Dwst5*
